path,disposition
"app/actions/lead.ts",reviewed
"app/actions/linkedin.ts",reviewed
"app/actions/sop.ts",reviewed
"app/leads/[id]/page.tsx",reviewed
"app/leads/new/page.tsx",reviewed
"app/linkedin-reports/page.tsx",reviewed
"app/linkedin-requests/page.tsx",reviewed
"app/reports/page.tsx",reviewed
"components/dynamic-lead-form.tsx",reviewed
"components/lead-assignment-dropdown.tsx",reviewed
"components/leads/lead-activity-timeline.tsx",reviewed
"components/leads/lead-follow-up-card.tsx",reviewed
"lib/actions/lead-actions.ts",reviewed
"lib/constants/component-access.ts",reviewed
"lib/services/lead-service.ts",reviewed
"lib/services/lead-validator.ts",reviewed
"lib/services/user-service.ts",reviewed
"lib/types/index.ts",reviewed
"app/actions/weekly-report.ts",reviewed
"components/reports/weekly-report-dashboard.tsx",reviewed
"lib/services/weekly-report-service.ts",reviewed
"lib/utils/lead-generation-form.ts",reviewed
"lib/utils/lead-linkedin-field.ts",reviewed
"lib/utils/lead-status-workflow.ts",reviewed
"tests/unit/leads/lead-generation-form.test.ts",reviewed
"tests/unit/leads/lead-linkedin-field.test.ts",reviewed
"tests/unit/leads/lead-status-workflow.test.ts",reviewed
"tests/unit/security/lead-server-actions.test.ts",reviewed
